id,name,primary_attr,attack_type,roles
1,Anti-Mage,agi,Melee,"Carry, Escape, Nuker"
2,Axe,str,Melee,"Initiator, Durable, Disabler"
3,Bane,all,Ranged,"Support, Disabler, Nuker"
4,Bloodseeker,agi,Melee,"Carry, Disabler, Nuker"
5,Crystal Maiden,int,Ranged,"Support, Disabler, Nuker"
6,Drow Ranger,agi,Ranged,"Carry, Disabler, Pusher"
7,Earthshaker,str,Melee,"Support, Initiator, Disabler"
8,Juggernaut,agi,Melee,"Carry, Pusher, Escape"
9,Mirana,agi,Ranged,"Carry, Support, Escape"
10,Morphling,agi,Ranged,"Carry, Escape, Durable"
11,Shadow Fiend,agi,Ranged,"Carry, Nuker"
12,Phantom Lancer,agi,Melee,"Carry, Escape, Pusher"
13,Puck,int,Ranged,"Initiator, Disabler, Escape"
14,Pudge,str,Melee,"Disabler, Initiator, Durable"
15,Razor,agi,Ranged,"Carry, Durable, Nuker"
16,Sand King,all,Melee,"Initiator, Disabler, Support"
17,Storm Spirit,int,Ranged,"Carry, Escape, Nuker"
18,Sven,str,Melee,"Carry, Disabler, Initiator"
19,Tiny,str,Melee,"Carry, Nuker, Pusher"
20,Vengeful Spirit,agi,Ranged,"Support, Initiator, Disabler"
21,Windranger,all,Ranged,"Carry, Support, Disabler"
22,Zeus,int,Ranged,"Nuker, Carry"
23,Kunkka,str,Melee,"Carry, Support, Disabler"
25,Lina,int,Ranged,"Support, Carry, Nuker"
26,Lion,int,Ranged,"Support, Disabler, Nuker"
27,Shadow Shaman,int,Ranged,"Support, Pusher, Disabler"
28,Slardar,str,Melee,"Carry, Durable, Initiator"
29,Tidehunter,str,Melee,"Initiator, Durable, Disabler"
30,Witch Doctor,int,Ranged,"Support, Nuker, Disabler"
31,Lich,int,Ranged,"Support, Nuker"
32,Riki,agi,Melee,"Carry, Escape, Disabler"
33,Enigma,all,Ranged,"Disabler, Initiator, Pusher"
34,Tinker,int,Ranged,"Carry, Nuker, Pusher"
35,Sniper,agi,Ranged,"Carry, Nuker"
36,Necrophos,int,Ranged,"Carry, Nuker, Durable"
37,Warlock,int,Ranged,"Support, Initiator, Disabler"
38,Beastmaster,all,Melee,"Initiator, Disabler, Durable"
39,Queen of Pain,int,Ranged,"Carry, Nuker, Escape"
40,Venomancer,all,Ranged,"Support, Nuker, Initiator"
41,Faceless Void,agi,Melee,"Carry, Initiator, Disabler"
